,Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
86,21:30,50.01,50.02,50.01,49.96,49.99,49.95,50.03,50.0,50.02,50.04,50.03,50.02,50.03,50.01,50.01,50.02,50.0,50.01,50.0,49.98,50.03,50.01,50.01,50.02,50.01,50.0,50.0,50.02
87,21:45,50.02,50.05,50.01,50.0,49.97,49.99,50.05,50.04,50.03,50.07,50.02,50.02,50.03,50.03,50.02,50.03,50.04,50.05,50.03,50.03,50.05,50.05,50.02,50.03,50.02,50.03,50.05,50.02
88,22:00,49.98,50.01,49.94,49.92,49.93,49.9,50.02,49.98,50.0,50.02,50.01,49.96,50.0,50.01,49.96,49.98,49.92,49.98,49.99,49.97,49.98,49.98,49.96,49.99,50.0,50.0,50.02,49.91
89,22:15,49.98,50.03,49.91,49.96,49.99,49.88,50.0,50.01,50.01,50.02,49.92,50.0,49.97,49.96,49.92,49.95,49.99,49.97,49.89,49.95,49.98,50.0,49.91,50.0,49.98,50.01,50.02,49.92
90,22:30,50.0,50.01,49.82,49.96,49.98,49.97,49.99,49.97,50.01,49.99,49.91,49.96,50.0,50.01,49.98,49.97,50.0,49.99,49.9,49.99,50.0,50.0,50.0,49.95,50.02,50.01,50.06,49.89
91,22:45,50.01,50.03,49.92,49.97,49.97,49.92,49.97,49.98,50.01,49.99,49.91,49.86,49.99,49.98,49.99,50.0,50.0,49.99,49.91,50.01,50.0,50.0,50.02,50.02,50.01,49.99,50.02,49.96
92,23:00,50.01,50.06,49.98,49.98,50.0,49.95,49.94,49.97,50.0,50.0,49.98,49.9,50.0,49.99,49.97,49.97,50.0,50.0,49.93,50.0,50.0,49.98,50.0,50.0,50.01,49.96,50.0,49.96
93,23:15,50.01,50.03,50.0,50.01,50.0,49.99,49.98,50.02,49.99,50.0,49.95,49.99,50.0,49.97,49.98,49.98,49.98,50.01,50.02,50.0,50.02,49.97,50.01,50.02,50.02,49.94,50.0,49.95
94,23:30,50.0,50.02,50.01,50.0,50.0,50.01,49.99,50.01,50.02,50.0,49.97,49.97,50.0,49.98,49.98,49.97,50.0,50.0,49.98,49.98,49.99,49.94,50.01,50.01,50.01,49.93,49.98,49.94
95,23:45,49.99,50.06,50.01,50.01,49.98,50.01,50.01,50.01,50.02,50.0,49.98,49.97,50.03,50.01,50.03,50.0,50.02,50.0,50.0,50.0,50.01,50.0,49.99,50.02,50.05,49.97,50.02,50.01
